RecordID,FirstName,LastName,FullName,Age,Gender,Country,Province,SouthAfricanID,CaseNumber,CrimeType,FinancialScore,EstimatedFraudAmount_ZAR,RiskLevel,CaseStatus,BankInvolved,PreviousOffenses,Arrested,CrimeDate,CourtDate,InvestigatingOfficer,StationCode
1,Brian,Pillay,Brian Pillay,55,Male,South Africa,KwaZulu-Natal,7609108293112,SA-CAS-966268,Cybercrime,790,98663,Low,Under Investigation,Capitec,9,No,2016-10-31,2025-10-08,Officer Nkosi,SA-ST-586
2,Sipho,Zulu,Sipho Zulu,65,Female,South Africa,Gauteng,8003198050126,SA-CAS-130640,Cybercrime,524,3014385,Low,Closed,Absa,4,Yes,2015-11-20,2023-05-10,Officer Mabena,SA-ST-785
3,Brian,Nkosi,Brian Nkosi,49,Female,South Africa,Gauteng,7303194587096,SA-CAS-241102,Cybercrime,436,2525514,High,Under Investigation,Standard Bank,5,Yes,2025-06-29,2020-10-21,Officer Nkosi,SA-ST-568
4,Thabo,Dlamini,Thabo Dlamini,61,Female,South Africa,Free State,6101226934087,SA-CAS-207449,Corruption,721,4999005,Low,Closed,Standard Bank,2,No,2020-07-07,2025-09-22,Officer Moyo,SA-ST-654
5,Ayanda,Nkosi,Ayanda Nkosi,54,Female,South Africa,Free State,6502131730143,SA-CAS-260733,Cybercrime,528,4233977,Low,Open,Capitec,7,Yes,2023-01-29,2018-06-09,Officer Naidoo,SA-ST-425
6,Brian,Nkosi,Brian Nkosi,62,Male,South Africa,North West,0401219177185,SA-CAS-181599,Armed Robbery,335,3118143,Medium,Convicted,Absa,7,Yes,2016-05-08,2019-04-17,Officer Mabena,SA-ST-565
7,Naledi,Pillay,Naledi Pillay,35,Female,South Africa,Limpopo,7709142054066,SA-CAS-618192,Armed Robbery,417,4695344,Low,Closed,African Bank,6,No,2019-05-09,2020-04-07,Officer Smith,SA-ST-923
8,Brian,Ndlovu,Brian Ndlovu,34,Female,South Africa,Limpopo,8210049992142,SA-CAS-316789,Vehicle Theft,396,2261226,Low,Convicted,Standard Bank,7,Yes,2025-03-28,2025-03-27,Officer Smith,SA-ST-589
9,Lerato,Zulu,Lerato Zulu,28,Female,South Africa,Gauteng,6704089610142,SA-CAS-139338,Drug Trafficking,397,1477972,Critical,Closed,FNB,8,Yes,2022-02-26,2024-07-31,Officer Naidoo,SA-ST-877
10,Ayanda,Pillay,Ayanda Pillay,25,Female,South Africa,Western Cape,0204283386177,SA-CAS-783999,Identity Theft,594,212442,Low,Convicted,Nedbank,9,No,2022-08-17,2016-12-05,Officer Moyo,SA-ST-578
11,Sipho,Naidoo,Sipho Naidoo,55,Female,South Africa,Free State,0310128221154,SA-CAS-966210,Fraud,368,4173407,High,Convicted,African Bank,8,No,2023-08-13,2020-01-15,Officer Naidoo,SA-ST-587
